upi_id,amount,transaction_id,timestamp,merchant,is_fraud
upi_id_52,14370,txn_1,2024-01-01 00:00:00,Merchant C,0
upi_id_93,12911,txn_2,2024-01-01 01:00:00,Merchant A,0
upi_id_15,7944,txn_3,2024-01-01 02:00:00,Merchant A,0
upi_id_72,12200,txn_4,2024-01-01 03:00:00,Merchant A,0
upi_id_61,15729,txn_5,2024-01-01 04:00:00,Merchant C,0
upi_id_21,23276,txn_6,2024-01-01 05:00:00,Merchant B,1
upi_id_83,6739,txn_7,2024-01-01 06:00:00,Merchant C,0
upi_id_87,15914,txn_8,2024-01-01 07:00:00,Merchant C,0
upi_id_75,35241,txn_9,2024-01-01 08:00:00,Merchant B,1
upi_id_75,19124,txn_10,2024-01-01 09:00:00,Merchant A,0
upi_id_88,48448,txn_11,2024-01-01 10:00:00,Merchant A,1
upi_id_100,34530,txn_12,2024-01-01 11:00:00,Merchant C,1
upi_id_24,10168,txn_13,2024-01-01 12:00:00,Merchant A,0
upi_id_3,10555,txn_14,2024-01-01 13:00:00,Merchant C,0
upi_id_22,17261,txn_15,2024-01-01 14:00:00,Merchant C,0
upi_id_53,47046,txn_16,2024-01-01 15:00:00,Merchant B,1
upi_id_2,3813,txn_17,2024-01-01 16:00:00,Merchant B,0
upi_id_88,28025,txn_18,2024-01-01 17:00:00,Merchant B,1
upi_id_30,27286,txn_19,2024-01-01 18:00:00,Merchant C,1
upi_id_38,26901,txn_20,2024-01-01 19:00:00,Merchant B,1
upi_id_2,1606,txn_21,2024-01-01 20:00:00,Merchant A,0
upi_id_64,5623,txn_22,2024-01-01 21:00:00,Merchant A,0
upi_id_60,6768,txn_23,2024-01-01 22:00:00,Merchant C,0
upi_id_21,27140,txn_24,2024-01-01 23:00:00,Merchant C,1
upi_id_33,11614,txn_25,2024-01-02 00:00:00,Merchant B,0
upi_id_76,10590,txn_26,2024-01-02 01:00:00,Merchant C,0
upi_id_58,13919,txn_27,2024-01-02 02:00:00,Merchant C,0
upi_id_22,20120,txn_28,2024-01-02 03:00:00,Merchant A,1
upi_id_89,27447,txn_29,2024-01-02 04:00:00,Merchant A,1
upi_id_49,13047,txn_30,2024-01-02 05:00:00,Merchant B,0
upi_id_91,24819,txn_31,2024-01-02 06:00:00,Merchant C,1
upi_id_59,35359,txn_32,2024-01-02 07:00:00,Merchant C,1
upi_id_42,4325,txn_33,2024-01-02 08:00:00,Merchant A,0
upi_id_92,10788,txn_34,2024-01-02 09:00:00,Merchant C,0
upi_id_60,9112,txn_35,2024-01-02 10:00:00,Merchant A,0
upi_id_80,38111,txn_36,2024-01-02 11:00:00,Merchant B,1
upi_id_15,16390,txn_37,2024-01-02 12:00:00,Merchant A,0
upi_id_62,41428,txn_38,2024-01-02 13:00:00,Merchant C,1
upi_id_62,14044,txn_39,2024-01-02 14:00:00,Merchant B,0
upi_id_47,28747,txn_40,2024-01-02 15:00:00,Merchant A,1
upi_id_62,22351,txn_41,2024-01-02 16:00:00,Merchant A,1
upi_id_51,41606,txn_42,2024-01-02 17:00:00,Merchant B,1
upi_id_55,118,txn_43,2024-01-02 18:00:00,Merchant B,0
upi_id_64,46686,txn_44,2024-01-02 19:00:00,Merchant A,1
upi_id_3,18936,txn_45,2024-01-02 20:00:00,Merchant C,0
upi_id_51,47078,txn_46,2024-01-02 21:00:00,Merchant A,1
upi_id_7,13235,txn_47,2024-01-02 22:00:00,Merchant B,0
upi_id_21,38329,txn_48,2024-01-02 23:00:00,Merchant A,1
upi_id_73,847,txn_49,2024-01-03 00:00:00,Merchant B,0
upi_id_39,10955,txn_50,2024-01-03 01:00:00,Merchant B,0
upi_id_18,13704,txn_51,2024-01-03 02:00:00,Merchant C,0
upi_id_4,48154,txn_52,2024-01-03 03:00:00,Merchant B,1
upi_id_89,46515,txn_53,2024-01-03 04:00:00,Merchant B,1
upi_id_60,22701,txn_54,2024-01-03 05:00:00,Merchant C,1
upi_id_14,32044,txn_55,2024-01-03 06:00:00,Merchant B,1
upi_id_9,6470,txn_56,2024-01-03 07:00:00,Merchant C,0
upi_id_90,30106,txn_57,2024-01-03 08:00:00,Merchant C,1
upi_id_53,42102,txn_58,2024-01-03 09:00:00,Merchant B,1
upi_id_2,26387,txn_59,2024-01-03 10:00:00,Merchant B,1
upi_id_84,49377,txn_60,2024-01-03 11:00:00,Merchant A,1
upi_id_92,45588,txn_61,2024-01-03 12:00:00,Merchant C,1
upi_id_60,36977,txn_62,2024-01-03 13:00:00,Merchant A,1
